"id","adult","backdrop_path","genre_ids","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count"
491926,False,"/j3cpxU7dLdHYhD5LmFnnwcuANY.jpg","{10752,36,18}","en","Resistance","The story of mime Marcel Marceau as he works with a group of Jewish boy scouts and the French Resistance to save the lives of ten thousand orphans during World War II.","17.794","/toVGHUTezvXXtceq0rqrDyjb5Su.jpg","2020-03-27","Resistance",False,"7.0",387
10220,False,"/xadKyApLtw09dkl1GlzZ2XTSQrc.jpg","{18,80}","en","Rounders","A young reformed gambler must return to playing big stakes poker to help a friend pay off loan sharks.","20.146","/7JfFYnOLWi2X4TZXJ7qQ7xO1D2x.jpg","1998-09-11","Rounders",False,"7.008",1585
942,False,"/zjRkl5PZvFujbRndrNbf4ZKbeNC.jpg","{28,12,35,80,53}","en","Lethal Weapon 2","In the opening chase, Martin Riggs and Roger Murtaugh stumble across a trunk full of Krugerrands. They follow the trail to a South African diplomat who's using his immunity to conceal a smuggling operation. When he plants a bomb under Murtaugh's toilet, the action explodes!","24.948","/1EEIUw0tkX7AJZ1ikZrtKZZKlC6.jpg","1989-07-07","Lethal Weapon 2",False,"7.008",3136
961268,False,"/dAXSflkUKRfpzK74kRaovfK09Kx.jpg","{28,80,53}","ko","발레리나","Grieving the loss of a best friend she couldn't protect, an ex-bodyguard sets out to fulfill her dear friend's last wish: sweet revenge.","112.589","/oE7xtGDqZnr7tFHfwb8oM9iRW6H.jpg","2023-10-05","Ballerina",False,"7.009",327
341744,False,"/iUAFLqAj7p1v8zkOReyd7tjSLDg.jpg","{18,35}","es","Truman","Tomás, who lives in Canada, travels to Madrid, Spain, to visit his old friend Julián. Both of them, accompanied by Truman, Julián's faithful dog, will share many surprising and emotional little moments, triggered by the hard situation Julián is going through, for just a few days.","10.58","/p4MFl06ePJGKMIF7zFCJhex95Vi.jpg","2015-09-24","Truman",False,"7.0",354
74306,False,"/acIAN5ID5eWOd9zg0cvy08d6ubA.jpg","{35,18}","en","God Bless America","Fed up with the cruelty and stupidity of American culture, an unlikely duo goes on a killing spree, killing reality TV stars, bigots and others they find repugnant.","13.64","/jEyiGve8BLOCvi8R2tL8H52aLp4.jpg","2012-05-11","God Bless America",False,"7.0",866
35558,False,"/nsWgxQrDcTVhSGzAu5kVlw64XB1.jpg","{10749,35,10770,10402}","en","Starstruck","Pop star Christopher Wilde has fame, fortune and a big-budget Hollywood movie awaiting him. But after meeting Jessica Olson, a down-to-earth girl from the Midwest, he is faced with following his heart or doing what's best for his career.","10.635","/kuyJuNiiZvu5iNr8Dgv5y75v1uc.jpg","2010-02-14","Starstruck",False,"7.0",1141
5698,False,"/99uGRUGS2qxNvPARiM8dkuTrUnW.jpg","{80,28,37,18,12,53,36}","en","The Great Train Robbery","After the train station clerk is assaulted and left bound and gagged, then the departing train and its passengers robbed, a posse goes in hot pursuit of the fleeing bandits.","12.072","/vEYr1sJR1dOFGXwXawpBN6hDRGF.jpg","1903-12-07","The Great Train Robbery",False,"7.0",555
11257,False,"/8fAXEcTr8AlHsZl6kXKMBXKeqs0.jpg","{18,10749}","en","A Room with a View","When Lucy Honeychurch and chaperon Charlotte Bartlett find themselves in Florence with rooms without views, fellow guests Mr Emerson and son George step in to remedy the situation. Meeting the Emersons could change Lucy's life forever but, once back in England, how will her experiences in Tuscany affect her marriage plans?","16.323","/5xRAqywVo6tNUNQbAESGVP930la.jpg","1986-03-07","A Room with a View",False,"7.0",678
1024,False,"/r6YVNhTEbPrurey0u4Ldk0WG3VA.jpg","{18,14}","en","Heavenly Creatures","Wealthy and precocious teenager Juliet transfers from England to New Zealand with her family, and soon befriends the quiet, brooding Pauline through their shared love of fantasy and literature. When their parents begin to suspect that their increasingly intense and obsessive bond is becoming unhealthy, the girls hatch a dark plan for those who threaten to keep them apart.","16.19","/uvb86wVCIqD3Rlbr0GTNgWDF7Zo.jpg","1994-09-12","Heavenly Creatures",False,"7.0",835
11836,False,"/i2fZIltljrhFPsUK9PN6O6ZE7M4.jpg","{10751,16,35,14,12}","en","The SpongeBob SquarePants Movie","There's trouble brewing in Bikini Bottom. Someone has stolen King Neptune's crown, and it looks like Mr. Krab, SpongeBob's boss, is the culprit. Though he's just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab's life.","47.669","/gjZD811kfY1ideNuBukcuCy8ocA.jpg","2004-11-14","The SpongeBob SquarePants Movie",False,"7.004",2660
2044,False,"/afrh3vqLrZeg6ZtKJKm7XW1TiVF.jpg","{18,9648,10749}","en","The Lake House","A lonely doctor who once occupied an unusual lakeside home begins exchanging love letters with its former resident, a frustrated architect. They must try to unravel the mystery behind their extraordinary romance before it's too late.","22.147","/tHpc1118dYWLnHZleGhwZxRbpae.jpg","2006-06-16","The Lake House",False,"7.005",2551
718032,False,"/hB4ibOHXm1Xl0IbuYVioktDGUWJ.jpg","{18,35,10749}","en","Licorice Pizza","The story of Gary Valentine and Alana Kane growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.","20.624","/jD98aUKHQZNAmrk0wQQ9wmNQPnP.jpg","2021-11-26","Licorice Pizza",False,"7.0",1980
48714,False,"/ujeqdoTvjB540D6SKmBYBrHHS1u.jpg","{27}","en","The Big Shave","A  young man walks into a meticulously clean and sterile bathroom and proceeds to shave away hair, then skin, in an increasingly bloody and graphic bathroom scene. Many film critics have interpreted the young man's process of self-mutilation as a metaphor for the self-destructive involvement of the United States in the Vietnam War.","7.698","/nh3PnPvXeVJrYXWdcx6TciRy2gi.jpg","1967-12-29","The Big Shave",False,"7.0",307
26039,False,"/dmzzE3U9Lmyz5kYxnDBxtTfQwr0.jpg","{80,53}","en","Point Blank","After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the rather inconsequential sum of money that was stolen from him.","12.912","/5wzZipiC0THdgPpViVV5OqDj3Xr.jpg","1967-08-30","Point Blank",False,"7.0",337
9905,False,"/vj9b9An8BxVK5xkFFdk7V08cK3V.jpg","{80,53}","en","Shallow Grave","When David, Juliet, and Alex are searching for a fourth roommate for their flat, they settle on the aloof Hugo. However, they soon find Hugo dead, with a large sum of cash being among his belongings. The three friends decide to keep the money, dismembering and burying Hugo's body. However, their newfound fortune begins to corrode their friendships, with each roommate resorting to manipulation tactics to scam the others out of the money.","11.002","/gqvSKLbfIg1mja1ulVkVcLhdwWF.jpg","1994-12-22","Shallow Grave",False,"7.0",902
420821,False,"/qK7Ssnrfvrt65F66A1thvehfQg2.jpg","{16,10751,35,12,9648}","en","Chip 'n Dale: Rescue Rangers","Decades since their successful television series was canceled, Chip has succumbed to a life of suburban domesticity as an insurance salesman. Dale, meanwhile, has had CGI surgery and works the nostalgia convention circuit, desperate to relive his glory days. When a former cast mate mysteriously disappears, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again to save their friend’s life.","44.009","/7UGmn8TyWPPzkjhLUW58cOUHjPS.jpg","2022-05-20","Chip 'n Dale: Rescue Rangers",False,"7.0",1104
263109,False,"/nWLaQghS2v9jKGXFsl6M5y1UG3U.jpg","{10751,16,35,12}","en","Shaun the Sheep Movie","When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.","18.484","/dhVYlfMNc2bfXPB83LLL00I4l9n.jpg","2015-02-05","Shaun the Sheep Movie",False,"7.0",1268
50723,False,"/a4MrZ711OIObIhSGF8SqcZQTyZo.jpg","{12,28,16}","ja","劇場版 NARUTO -ナルト- 疾風伝 ザ・ロストタワー","Assigned on a mission to capture Mukade, a missing-nin, Naruto Uzumaki sets out for the once glorious historic ruins of ""Ouran"", where he pursues and corners the rouge ninja. Mukade's goal is revealed to be a dormant leyline within the ruins; he unleashes the power of the leyline, causing a light to envelop Naruto, sending him into the past, 20 years before the series began. When Naruto awakens, he comes into contact with the Fourth Hokage, Minato Namikaze.","36.587","/6e2YvN1tQK4xQHlmy7GJTuXOt2u.jpg","2010-07-31","Naruto Shippuden the Movie: The Lost Tower",False,"7.0",403
1073,False,"/7qfRbS477Io8JnYz739P0aXbBVh.jpg","{80,18,53,9648}","en","Arlington Road","Threats from sinister foreign nationals aren't the only thing to fear. Bedraggled college professor Michael Faraday has been vexed (and increasingly paranoid) since his wife's accidental death in a botched FBI operation. But all that takes a backseat when a seemingly all-American couple set up house next door.","22.209","/4yYHyZuyTTQaEZuHKS7561jXjtR.jpg","1999-03-19","Arlington Road",False,"7.002",983
778,False,"/qi7PmFSlCXVAwqlvdiN2ZrlxJGj.jpg","{35}","fr","Les vacances de Monsieur Hulot","Monsieur Hulot, Jacques Tati’s endearing clown, takes a holiday at a seaside resort, where his presence provokes one catastrophe after another. Tati’s masterpiece of gentle slapstick is a series of effortlessly well-choreographed sight gags involving dogs, boats, and firecrackers; it was the first entry in the Hulot series and the film that launched its maker to international stardom.","13.471","/r4F4tsU0Ajeh9ZYUkWOJSYmioj7.jpg","1953-02-25","Monsieur Hulot's Holiday",False,"7.0",409
53487,False,"/g8mF9H17uEWYzSR1RA0dPIXqmXO.jpg","{18}","en","This Must Be the Place","A bored, retired rock star sets out to find his father's tormentor, an ex-Nazi war criminal who is a refugee in the U.S.","15.695","/shypvXowguyXUhtbknBAUiHe11D.jpg","2011-08-24","This Must Be the Place",False,"7.0",1143
